iter	Passed	Remaining
400	35516	53053
401	35615	52981
402	35695	52878
403	35779	52783
404	35856	52677
405	35938	52579
406	36030	52495
407	36138	52436
408	36257	52391
409	36364	52329
410	36458	52248
411	36546	52158
412	36630	52063
413	36710	51961
414	36810	51889
415	36899	51801
416	37005	51736
417	37106	51664
418	37196	51578
419	37272	51471
420	37368	51393
421	37463	51312
422	37553	51226
423	37644	51140
424	37727	51042
425	37818	50957
426	37908	50869
427	37997	50782
428	38095	50705
429	38193	50627
430	38280	50537
431	38379	50461
432	38473	50380
433	38560	50288
434	38654	50206
435	38749	50125
436	38843	50043
437	38934	49957
438	39038	49887
439	39157	49837
440	39256	49760
441	39352	49680
442	39461	49616
443	39566	49546
444	39661	49465
445	39752	49378
446	39838	49285
447	39927	49196
448	40003	49090
449	40087	48995
450	40183	48914
451	40275	48829
452	40363	48739
453	40457	48655
454	40532	48550
455	40620	48459
456	40710	48371
457	40796	48279
458	40877	48180
459	40952	48074
460	41048	47993
461	41150	47919
462	41234	47824
463	41326	47738
464	41415	47650
465	41497	47553
466	41586	47464
467	41665	47363
468	41753	47273
469	41838	47179
470	41910	47071
471	41989	46971
472	42077	46881
473	42179	46806
474	42272	46722
475	42375	46648
476	42473	46569
477	42569	46487
478	42663	46403
479	42746	46309
480	42819	46202
481	42918	46124
482	43025	46053
483	43134	45986
484	43225	45898
485	43327	45823
486	43423	45741
487	43525	45666
488	43622	45584
489	43722	45506
490	43800	45406
491	43887	45315
492	43981	45230
493	44083	45153
494	44221	45115
495	44340	45056
496	44464	45000
497	44575	44933
498	44674	44853
499	44776	44776
500	44865	44686
501	44973	44615
502	45069	44532
503	45181	44464
504	45279	44383
505	45398	44321
506	45536	44278
507	45708	44269
508	45868	44246
509	45994	44190
510	46121	44135
511	46260	44092
512	46371	44021
513	46483	43951
514	46608	43893
515	46727	43830
516	46833	43753
517	46952	43689
518	47061	43615
519	47191	43561
520	47297	43484
521	47412	43415
522	47523	43343
523	47658	43292
524	47793	43242
525	47905	43169
526	48055	43131
527	48174	43064
528	48288	42994
529	48389	42911
530	48502	42839
531	48598	42752
532	48720	42687
533	48848	42628
534	48966	42559
535	49087	42493
536	49192	42413
537	49318	42351
538	49437	42283
539	49554	42212
540	49667	42139
541	49772	42058
542	49886	41985
543	49997	41910
544	50111	41835
545	50198	41739
546	50296	41653
547	50414	41582
548	50510	41494
549	50623	41419
550	50725	41335
551	50838	41260
552	50969	41199
553	51074	41117
554	51196	41049
555	51308	40973
556	51423	40899
557	51533	40820
558	51654	40750
559	51751	40661
560	51844	40569
561	51953	40490
562	52052	40403
563	52153	40317
564	52261	40236
565	52364	40151
566	52466	40066
567	52566	39980
568	52655	39885
569	52760	39802
570	52855	39710
571	52963	39629
572	53062	39542
573	53153	39448
574	53247	39356
575	53342	39265
576	53439	39176
577	53533	39085
578	53640	39002
579	53738	38914
580	53846	38832
581	53945	38744
582	54047	38658
583	54154	38575
584	54236	38475
585	54333	38385
586	54437	38300
587	54523	38203
588	54604	38102
589	54705	38015
590	54809	37930
591	54888	37828
592	54985	37738
593	55082	37648
594	55188	37565
595	55286	37476
596	55407	37402
597	55502	37311
598	55597	37219
599	55710	37140
600	55829	37064
601	55933	36979
602	56033	36890
603	56136	36805
604	56244	36721
605	56358	36642
606	56466	36559
607	56565	36469
608	56656	36375
609	56759	36288
610	56851	36195
611	56980	36124
612	57095	36045
613	57181	35948
614	57288	35863
615	57391	35776
616	57502	35694
617	57610	35610
618	57711	35521
619	57823	35440
620	57931	35355
621	58030	35266
622	58124	35173
623	58218	35080
624	58329	34997
625	58435	34912
626	58547	34829
627	58633	34731
628	58746	34650
629	58856	34566
630	58956	34477
631	59050	34383
632	59184	34314
633	59299	34232
634	59404	34145
635	59526	34068
636	59642	33988
637	59740	33896
638	59869	33822
639	60025	33764
640	60125	33674
641	60241	33592
642	60333	33497
643	60446	33414
644	60582	33344
645	60687	33255
646	60784	33163
647	60894	33078
648	61003	32992
649	61112	32906
650	61205	32812
651	61300	32718
652	61397	32626
653	61502	32538
654	61602	32447
655	61711	32360
656	61811	32269
657	61910	32178
658	62019	32091
659	62133	32007
660	62248	31924
661	62347	31832
662	62445	31740
663	62561	31657
664	62652	31561
665	62755	31471
666	62861	31383
667	62952	31287
668	63055	31197
669	63168	31112
670	63266	31020
671	63373	30932
672	63522	30864
673	63643	30783
674	63769	30703
675	63884	30619
676	64009	30539
677	64113	30449
678	64219	30360
679	64308	30262
680	64416	30174
681	64527	30087
682	64628	29995
683	64756	29916
684	64861	29826
685	64979	29742
686	65102	29661
687	65225	29579
688	65341	29493
689	65463	29411
690	65566	29319
691	65667	29227
692	65779	29140
693	65895	29055
694	65983	28956
695	66077	28861
696	66171	28766
697	66279	28676
698	66367	28578
699	66475	28489
700	66560	28390
701	66662	28298
702	66779	28212
703	66886	28122
704	66981	28027
705	67080	27934
706	67193	27846
707	67287	27751
708	67383	27656
709	67496	27569
710	67598	27476
711	67695	27382
712	67777	27281
713	67868	27185
714	67970	27092
715	68078	27003
716	68190	26914
717	68285	26819
718	68392	26729
719	68465	26625
720	68556	26528
721	68656	26435
722	68767	26346
723	68855	26248
724	68958	26156
725	69056	26062
726	69160	25970
727	69246	25872
728	69327	25771
729	69418	25675
730	69532	25587
731	69625	25491
732	69716	25394
733	69816	25301
734	69911	25206
735	70002	25109
736	70108	25018
737	70212	24926
738	70326	24838
